abject	비열한, 비굴한
contemptuous	사람을 얕잡아보는
content	만족하여
continual	계속적인, 빈번한
contradictory	모순된
convenient	편리한, 손쉬운
corrupt	타락한, 부정한
courteous	예의바른, 정중한
cowardly	겁많은, 소심한
crazy	미친
creditable	명예로운, 신용할수 있는
credulous	쉽게 믿는, 경솔한
criminal	범죄의, 형사상의
critical	결정적인, 위험한
crucial	결정적인, 호된, 괴로운
crude	가공하지 않은
cruel	잔혹한, 잔인한
cumbersome	다루기 힘든, 버거운
cunning	교활한, 약삭빠른
curious	호기심 있는
current	통용되는
customary	관례적인
cynical	냉소적인, 비꼬는
damp	축축한
daring	대담한, 용감한
dead	죽은
deadly	치명적인
decent	적절한, 예절바른
decided	결정적인, 단호한
definite	한정된, 명확한
dejected	낙심한
deliberate	신중한 
delicate	섬세한, 가냘픈
depressed	우울한, 억압된
desolate	황량한, 황폐한
desperate	절망적인, 지독한
destitute	빈곤한
devout	독실한
dim	모호한
dirty	더러운, 불결한
disadvantage	불리한, 손해되는
discernible	식별력이 있는
discreet	주의력 있는, 사려심 있은
disgrace	수치스러운, 불명예스러운
disgusting	메스꺼운, 넌더리나는
dishonorable	망신스러운
disinterested	사심없는, 공정한
disloyal	불성실한, 불충한
distinct	뚜렷한, 별개의
distinguished	두드러진, 뛰어난
diverse	다양한
dominant	지배적인, 우세한
dreary	음울한, 황량한
dubious	수상쩍은, 모호한
dull	무딘, 둔한, 단조로운
dumb	벙어리의
durable	오래 견디는, 튼튼한
dusky	어스레한, 어둑어둑한
earnest	성실한, 열심인
easy	쉬운, 수월한
economical	경제적인, 이익이 남는
effective	효과적인, 유효한
elegant	우아한, 세련된
elementary	기본의, 초보의
eminent	탁월한, 뛰어난, 현저한
emphatic	어조가 강한, 단호한
empty	빈, 공허한
enormous	거대한, 막대한
enterprising 	진취적인, 기상이 강한
enthusiastic	열심인, 열성적인
equal	같은, 동일한
erect	직립한, 수직의
erroneous	잘못된, 틀린
essential	근본적인
eternal	영원한, 불멸의
even	평평한, 같은 높이의
evident	분명한, 명백한
evil	나쁜, 사악한
excellent	우수한, 뛰어난
exceptional	예외적으로, 특별히
excessive	과도한, 지나친
exorbitant	과대한, 부당한
expensive	값비싼, 사치스러운
explicit	명백한, 뚜렷한
extensive	폭넓은, 광대한
exterior	외부의, 표면의
extinct	멸종된, 단절된
extraordinary	비상한, 비범한
extreme	극도의, 지나친
faint	희미한, 어렴풋한, 나약한
fair	공평한, 공정한
faithful	충실한, 성실한
false	잘못된, 그릇된
familiar	친한, 허물없는 익숙한
famous	유명한, 고급의
fast	빠른, 신속한
fat	살 찐, 지방의
fatal	치명적인
feasible	실행할수 있는, 그럴싸한
feeble	연약한, 박약한
fertile	비옥한, 풍부한
fervent	열정적인, 뜨거운
fierce	사나운, 지독한
fiery	불같은, 열띤
final	최후의, 궁극적인
financial	재정상의, 금융상의
fine	세련된, 품위 있는
firm	안정된, 고정된
flash	섬광, 현란한
flat	평평한, 납작한
flexible	휘기쉬운, 나긋나긋한
fluent	유창한
foolish	바보같은, 미련한
formidable	무서운
foul	더러운, 지저분한
fragrant	향기로운, 냄새가 좋은
frank	솔직한, 정직한
frightful	무서운, 무시무시한
frugal	검소한, 검약한
fruitless	열매를 맺지않는, 무익한
fundamental	기초적인, 근본적인
funny	즐겁게하는, 재미있는
futile	쓸데없는, 시시한
gallant	용감한
gay	명랑한, 쾌활한
generous	관대한, 아낌없이 주는
genial	정다운, 온화한
gentle	온화한, 친절한
gigantic	거인같은, 거대한
glad	기쁜, 즐거운
gloomy	어두운, 음울한
godly	믿음이 깊은, 경견한
gracious	품위있는, 상냥한
grand	웅장한, 웅대한
grateful	고맙게 여기는, 사의를 표하는
grave	중대한, 근엄한
great	큰, 중대한
greedy	욕심많은, 대식하는
gross	거친, 커다란
guilty	죄를 범한, 유죄의
guiltless	정직한, 솔직한
habitual	습관적인, 평소의
hard	굳은, 단단한
hardy	단련된, 튼튼한
harsh	거친, 가혹한
hateful	미운, 지긋지긋한
haughty	오만한, 거만한
heavy	무거운, 대량의
helpful	도움이 되는, 유익한
heroic	영웅의, 용맹스러운
hoarse	목쉰, 쉰 목소리의
homely	못생긴
hopeless	희망없는, 절망적인
horrible	무서운, 끔찍한
hostile	적대적인
huge	거대한, 막대한
humane	자비로운
humble	겸손한, 비천한
humid	습기있는, 눅눅한
humorous	익살스러운
idiotic	바보의, 백치의
idle	한가한, 게으른
ignoble	출신이 비천한
ignorant	무식한, 무지한
illegal	불법의, 비합리적인
imaginary	상상의, 가상의
imminent	절박한, 촉박한
immoderate	무절제한, 지나친
immoral	부도덕한, 음란한
impartial	편견없는, 공평한
impolite	버릇없는, 무례한
impregnable	끄떡않는, 견고한
improper	부적당한, 어울리지 않는
improvident	선견지명 없는, 앞일을 생각하지 않는
impudent	뻔뻔스러운, 염치없는
impulsive	충동적인, 감정에 끌린
impunity	형벌을 받지 않은
inaccurate	부정확한, 틀린
inactive	활동하지 않는, 게으른
inadvertent	부주의한, 소홀한
inanimate	생명이 없는
inapt	서투른, 부적당한
inborn	타고난, 선천적인
incentive	자극적인, 고무하는
incessant	끊임없는, 쉴새없는
incidental	우연히 일어나는
incisive	예리한, 예민한
incompatible	어울리지 않는, 무능한, 쓸모없는
inconsistent	일치하지 않는, 모순된
inconstant	변덕스러운, 변하기 쉬운
incontrovertible	논쟁의 여지가 없는, 명백한
incredulous	의심많은
indecent	버릇없는, 추잡한
indefinite	명확하지 않은, 애매한
indignation	분개한, 성난
indispensable	없어서는 안되는, 꼭 필요한
industrious	근면한, 부지런한
inept	부적당한, 서투른
infamous	수치스러운, 악명높은
infectious	전염성의, 전염병의
inflexible	확고한, 강직한
ingenious	재치있는, 영리한
ingenuous	순진한, 소박한
inherent	타고난, 고유의
initial	처음의, 최초의
innocent	결백한, 순진한
innumerable	셀 수 없는, 무수한
inquisitive	호기심이 강한
insane	제정신이 아닌, 미친
insecure	불안한, 걱정스러운
insolent	건방진, 무례한
instantly	즉시의, 즉석에서
intact	손상되지 않은, 그대로인
intentional	계획된, 고의의
intimate	친밀한, 친숙한
intolerable	참을수 없는
intolerant	옹졸한, 편협한
intricate	얽힌, 복잡한
invariable	매우 귀중한
jealous	질투가 많은, 시샘하는
joyful	기쁜, 즐거운
joyless	기쁨이 없는, 쓸쓸한
judicial	사법의, 재판의
judicious	현명한, 사리분별이 있는
keen	날카로운, 예리한
kind	친절한, 동정심있는
laborious	힘드는, 열심히 일하는
languid	노곤한, 나른한
large	큰, 광대한, 거대한
last	마지막의
latent	숨어있는, 보이지 않는
lavish	아끼지 않는, 후한
lawful	합법의, 준법의
lazy	게으른, 나태한
legitimate	합법적인, 정당한
lenient	너그러운, 인자한
liable	책임져야 할
liberal	후한, 너그러운, 풍부한
light-hearted	마음편한, 근심걱정 없는
likely	있음직한, ~함직한
limber	유연한
liquid	액체의
lively	생기 넘치는, 명랑한
lofty	매우 높은
lone	고독한, 고립된
loose	헐거운, 풀린
lordly	귀족다운, 당당한
loud	시끄러운, 큰소리를 내는
loyal	충성스러운
lubricious	미끄러운
lucid	맑은, 투명한
ludicrous	어이없는, 우스꽝스러운
luminous	빛을 내는, 총명한
lusty	건장한, 튼튼한
luxurious	사치스러운, 호화로운
mad	미친, 열광적인
magnificent	장엄한, 웅장한
main	주요한, 전력을 다한
maintain	지속할수 있는
majestic	장엄한, 웅장한
maladroit	솜씨없는, 서투른
malcontent	불평을 품은, 불만의
male	남성의
malice	악의
malicious	악의있는, 심술궂은
mammoth	거대한
manful	남자다운, 씩씩한
manifest	명백한, 분명한
manifold	다양한, 다수의
manly	남자다운, 용맹한
many	많은, 다수의
marvelous	놀라운, 신기한
massive	크고 무거운, 육중한
matchless	무적의, 비길데 없는
mature	성숙한
meager	메마른, 빈약한
measureless	무한한, 엄청난
meddlesome	지겹게 참견하는
melancholy	우울한, 침울한
merciful	자비로운, 인정많은
merciless	무자비한, 무정한
merry	명랑한, 웃고 즐기는
mess	혼란, 뒤죽박죽한
mighty	강력한, 힘센
mild	온화한, 관대한
minor	중요치 않은, 둘째 가는
minute	미세한, 상세한
miraculous	기적적인, 놀랄만한
miserable	불쌍한, 비참한
miserly	인색한
moderate	절제있는, 온건한
modest	겸손한, 신중한
moist	축축한, 습기있는
momentous	중대한, 중요한
monetary	화폐의, 금전상의
monotonous	단조로운, 지루한
monstrous	기괴한, 거대한
moody	변덕스러운, 침울한
moral	도덕상의, 윤리의
moreover	게다가, 더욱이
mortal	치명적인
mostly	대개, 대부분
motionless	움직이지 않는, 정지한
mute	벙어리의, 무언의
mutual	서로의 공동의
naive	단순한, 순진한
naked	벌거숭이의, 나체의
narrow-minded	마음이 좁은, 편협한
nasty	더러운, 불쾌한
native	출생지의, 타고난
nearly	거의, 대략
neat	깔끔한, 단정한
necessary	필요한, 필연의
negligible	대수롭지 않은, 하찮은
nervous	신경성의, 흥분하기 쉬운
noble	고상한, 기품있는
notable	주목할만한, 뛰어난
novel	새로운, 잘 알려져 있지 않은, 신기한
numberless	셀수없이 많은, 무수한
obedient	순종하는, 유순한
objective	객관적인
obscure	분명치 않은, 불명료한
obstinate	완고한, 고집센
obvious	명백한, 분명한
occult	숨은 신비스러운
odd	이상한, 기묘한
offensive	불쾌한, 무례한
old	나이먹은
old-fashioned	유행에 뒤떨어진, 구식의, 고풍의
ominous	불길한, ~의 전조의
omnipresent	어디에나 있는
only	유일한
operative	효력있는
opponent	적대의 반대의
opportune	시기가 좋은, 알맞은
opposite	마주보고 있는, 반대편의
oral	구두의, 구술의
orderly	규칙적인, 규율이 있는
ordinary	평상의 보통의
organic	유기체의
original	독창적인, 창의성이 풍부한
outspoken	거리낌없이 말하는
outstanding	눈에 띄는, 현저한
pacific	평온한
painstaking	근명한
pale	창백한
parallel	평행의, 같은 방향의
partial	불공평한, 편파적인
passionate	열렬한, 격렬한
passive	수동의
pathetic	감상적인, 애처로운
peaceable	평화로운
peaceful	평온한, 조용한
peculiar	특별한
pecuniary	재정상의
penetrating	통찰력 있는
pensive	생각에 잠긴
permanent	불변의, 영구적인
perpetual	영구적인, 끊임없는
pertinent	적당한, 적절한
picturesque	그림같이 아름다운
pious	신앙심 깊은, 경건한
piquant	통렬한, 신랄한
pitiful	가엾은
pitiless	무자비한, 매정한
placid	평온한, 침착한
plague	전염병의
plain	솔직한, 분명한
pointed	뾰족한, 날카로운
polished	윤이 나는
polite	예의 바른, 공손한
popular	대중적인, 서민의
positive	명확한, 명백한
potent	유력한, 강력한
potential	잠재적인
potentially	아마, 혹시
practicable	실행할 수 있는
precious	귀중한
precise	정확한, 정밀한
predominant	널리 퍼진
preeminent	탁월한, 현저한
preliminary	예비의, 준비의
preoccupied	선정된, 이미 사용된
presently	곧, 이윽고
previous	앞의, 이전의
primary	근본적인, 기초적인
prime	첫째의, 최초의
primitive	원시적인, 미개한
principal	주요한, 주된
private	사적인, 개인적인
prodigious	거대한, 막대한
productive	생산적인, 비옥한
proficient	숙달된, 유창한
profound	깊은
progressive	전진하는, 발전하는
progressively	점진적인, 발전하는
prone	~하는 경향이 있는
proper	적당한
prosperous	번영하는, 부유한
proud	뽐내는, 자랑하는
prudent	신중한, 현명한
pseudo	허위의, 가짜의
pure	순수한, 깨끗한
quaint	기이한, 기묘한
quick	재빠른, 민첩한
radiant	빛나는, 찬란한
radical	근본적인
random	임의의, 무작위의
rapid	신속한, 재빠른
rare	드문, 진기한
rash	무분별한, 무모한
rational	이성의, 사리에 맞는
raw	날것의, 가공하지 않은
reactionary	반동의, 반발적인
readily	서슴없이, 선뜻, 쉽사리
real	실재하는, 현실의
reasonable	분별있는, 사리를 아는
rebellious	반란하는, 반항하는
reciprocal	상호간의
reckless	앞뒤를 가리지 않는, 무모한
refined	정제된, 세련된
regardless	부주의한, 관심없는
regular	규칙적인, 정기적인
relentless	냉혹한, 잔인한
reliable	믿을수 있는
religious	신앙심 깊은, 경건한
reluctant	마음이 내키지 않는
remarkable	주목할 만한
remote	먼, 멀리 떨어진
requisite	필요한, 없어서는 안될
resilient	탄력있는
resolute	굳게 결심한, 단호한
respectable	존경할만한
respectful	공손한, 정중한
responsible	책임이 있는
restful	편안한, 평온한
rich	부유한, 풍부한
ridiculous	웃기는, 우스꽝스러운
right	적당한, 옳은
righteous	바른, 정의의
rigid	단단한, 딱딱한
rigorous	엄한, 엄격한
ripe	익은, 숙성한
robust	건장한, 튼튼한
rotten	썩은, 불결한
rough	난폭한, 격렬한, 거친
rude	버릇없는
rudimentary	기본의, 초보의
rural	시골의
ruthless	무자비한, 무정한
sacred	신성한
sad	슬픈, 슬퍼하는
safe	안전한, 위험이 없는
sanguinary	피비린내 나는, 잔인한
savage	야만적인, 야만인의
scanty	부족한, 불충분한
scarce	부족한, 적은
scrupulous	꼼꼼한, 세심한
secret	비밀의, 은밀한
secure	안전한, 확고한
self-evident	자명한
self-satisfied	자기 만족의
sensational	세상을 들끓게 하는
senseless	무감각한
sensible	분별있는, 현명한
sensitive	민감한, 감각이 있는
sensual	관능적인, 세속적인
sententious	간결한
serious	심각한, 엄숙한
severe	호된, 엄한 / 맹렬한, 심한
shabby	허름한, 초라한
shameful	불명예스러운, 망신스러운
shameless	뻔뻔스러운
sharp	예리한, 날카로운
sheer	섞인 것이 없는, 순수한
shining	빛나는, 화려한
short-sighted	경솔한
showy	화려한, 허식부리는
shrewd	빈틈없는, 날카로운
shy	소심한, 수줍은
significant	중요한, 의미심장한
silent	말없는, 고요한
simultaneous	동시에 일어나는
sincere	성실한, 거짓없는
skeptical	의심많은, 회의적인
skilled	숙련된, 기술이 좋은
skillful	숙련된, 솜씨좋은, 능숙한
slack	늘어진, 느슨한
slender	호리호리한, 가느다란
slight	근소한, 약간의
slim	호리호리한, 갸냘픈, 가는
sly	교활한, 간교한
smart	영리한, 기민한
smooth	평탄한, 매끄러운
sober	술취하지 않은, 맑은 정신의
sociable	사교적인
soft	부드러운, 유연한
sole	유일한
solemn	엄숙한
solid	단단한
solitary	고독한
sophisticated	세상 물정에 익숙한
sore	욱신욱신한, 아픈
sound	건전한, 정상적인
sour	시큼한
spacious	넓은, 풍부한
special	독특한, 특수한
spectacular	장관인, 시선을 집중시키는
speculative	순 이론적인, 사색적인
splendid	찬란한, 훌륭한
spontaneous	자발적인
stable	안정된, 변화없는
stagnant	정체된, 침체한
stale	심심하지 않은, 변한
stately	당당한, 품위있는
steadfast	불변의, 확고한
sterile	불임의
stern	단호한
stiff	빳빳한, 굳은
still	움직이지 않는
stimulating	기운을 붇돋는
stingy	인색한
stout	튼튼한, 용감한
strange	이상한, 생소한
strenuous	격렬한
strict	엄격한
stringent	엄중한, 절박한
strong	강한
stubborn	완고한, 완강한
stupid	바보같은, 어리석은
sturdy	억센, 튼튼한
subject	지배를 받는, 복종하는
subjective	주관적인
subordinate	하위의
substantial	실질적인, 내용이 알찬
successive	계속되는
succinct	간결한
sufficient	충분한, 흡족한
superficial	표면의, 겉면의
supernatural	초자연의, 신비적인
suspense	어중간한, 모호한
sweeping	휩쓸어가는, 광범위한
swift	빠른, 눈 깜짝할 사이의
talkative	이야기하기 좋아하는, 수다스러운
tall	키가 큰, 거창한
tame	길들인, 온순한
tangible	명백한, 확실한
tedious	지루한, 지겨운
temperate	절제하는, 삼가는
temporary	일시적인, 임시의
tempting	유혹하는, 부추기는
tender	부드러운, 연한
tense	팽팽한, 긴장한
terrible	무서운, 소름끼치는
terrific	훌륭한, 아주 멋진
tiresome	지루한, 따분한
torrential	맹렬한, 격한
tough	튼튼한, 강인한
tragic	비극의, 비참한
transparent	투명한, 비쳐 보이는
tremendous	무서운, 거대한, 대단한
trifling	하찮은, 시시한
troublesome	까다로운, 귀찮은
true	진짜의, 참된
trustworthy	신뢰할 수 있는, 믿을 수 있는
typical	대표적인 전형적인
tyrannical	전제 군주적인, 무도한
ugly	추한, 험악한
ultimate	최후의
unaccountable	설명할 수 없는, 기묘한
unassuming	겸손한, 건방지지 않은
unbearable	견딜 수 없는, 참기어려운
unbecoming	어울리지 않는
unbiased	선입관없는, 편견없는
unbounded	끝없는, 무한의
uncivil	무례한, 버릇없는
uncompromising	타협하지 않는, 완고한
unequaled	무적의, 무쌍한
unexampled	전례가 없는
uniform	한결같은, 똑같은
uninterested	무관한, 관계없는
universal	모든 사람의, 보편적인
unlawful	불법의
unmindful	부주의한, 개의치 않는
unparalleled	비할 바 없는
unpleasant	불쾌한, 재미없는
unreasonable	철없는
unrefined	세련되지 못한, 정제되지 못한
unrelenting	무자비한
unsettled	변하기 쉬운, 불안정한
unsophisticated	단순한, 소박한
unstable	불안정한, 변하기 쉬운
unsteady	불안정한
unyielding	강직한, 단단한
upright	올바른
urgent	긴급한, 다급한
useful	쓸모있는, 유익한
ineffective	쓸모없는, 무능한
vacant	빈, 공허한
vague	막연한, 모호한
vain	공허한, 실속없는
valid	근거가 확실한, 정당한
variable	변하기 쉬운, 변덕스러운
various	여러 가지의, 다재다능한
vast	광대한, 거대한
verbal	말뿐인
vertical	수직의, 정점의, 절정의
vibrant	진동하는, 떠는, 가슴설레는
vicious	사악한, 품행이 나쁜
vigilant	자지않고 지키는, 방심하지 않는
vigorous	강력한, 힘찬
violence	강렬한, 맹렬한
virtual	사실상의, 실질적인
virtually	사실상, 실질적으로는
virtuous	덕이 있는, 고결한, 정숙한
visible	눈에 보이는, 명백한
visionary	환영의, 꿈같은
vital	극히 중대한, 치명적인
vivid	발랄한, 밝은
void	쓸모없는, 무효의
voluntary	자발적인, 임의의
vulgar	저속한, 통속적인
wake	깨어있는
wakeful	깨어있는, 잠이 오지 않는
wary	주의 깊은, 세심한
watchful	조심하는
weak	약한, 허약한
wealth	부유한, 풍부한
wear-out	고갈된, 다 써버린
wearisome	지루한, 피곤하게 하는
weary	싫증난, 피곤한
wet	젖은, 축축한, 습기있는
whim	변덕스러운
wholesale	도매의, 대규모의
wholesome	건강에 좋은, 유익한
wicked	사악한, 나쁜
widespread	만연된, 널리퍼진
wild	야생의, 자생의, 화난, 성난
wily	교활한, 꾀가 많은
wise	슬기로운, 현명한
witty	재치있는 익살맞은
wonderful	이상한, 훌륭한
worthy	가치있는, 훌륭한
wretched	비참한, 불쌍한
zealous	열심인, 열광적인
abundance	 풍부
access	접근
account	계산, 평가, 설명
acquaintance	아는 사람, 아는 사이
address	주소/인사말, 강연
advantage	유리, 우월
adversary	적, 상대자
adversity	불행, 역경, 재난
advocate	변호사
alarm	놀람, 공포, 경보
alliance	결연, 동맹
altitude	높이, 고도
ancestor	선조, 조상
anger	노여움, 성남
anguish	고통, 고뇌
antagonist	적대자, 경쟁자
antipathy	반감, 혐오
apex	꼭대기, 정점, 절정
apparel	옷
appendix	부록, 추가
applause	박수갈채
appliance	기구, 가전제품
apprehension	우려, 염려
aptitude	적성, 적절함
ardor	열정, 열심
aspect	용모, 생김새
assembly	의회, 하원
assess	평가하다, 사정하다
assign	할당하다, 배당하다
associate	연합시키다, 참가시키다
assort	분류하다
assume	맡다, 책임지다
assure	보증하다, 확실하게 하다
astonish	깜짝 놀라게 하다
attach	붙이다, 접착하다
attachment	부착, 부착물
attitude	태도, 자세
authority	권위, 권력
average	평균, 표준
awe	두려움, 경외
bargain 	매매, 싼 물건
barrier	장벽, 울타리
base	기초, 근거, 천한
bearing	태도, 관계
bias*	성향, 경향
blast	한줄기 강한 바람, 폭풍
blaze	불꽃, 섬광
blemish	흠, 결점
block	받침대, 장애물
blow	강타, 타격
blunt	무딘, 둔한
bond	연맹
bound	경계, 한계
boundary	경계(선)
brain	두뇌, 지력
bravery	용감
broad	폭이 넓은
brood	골똘히 생각하다
brook	시내, 개천
brutal	야수적인, 잔인한
brute	짐승
burden	무거운짐
calamity 	재난, 불행
capacity	용적, 수용력, 자격
capital	주요한, 수도, 대문자
captivity	포로, 감금
capture	사로잡다, 포획
cargo	뱃짐, 화물
carriage	탈 것, 차
catastrophe	대이변, 큰재앙
celebrity	명성
character	특성, 성격, 인물, 문자
cheer	격려, 환호, 갈채
chill	냉기, 냉담한
clash	충돌
cohesion	점착, 결합
column	기둥, 원주
combat	전투, 논쟁
combination	결합, 연합
comfort	위로, 위안, 편안함
companion	동료, 동반자
company	회사, 조합
compassion	동정
component	성분, 구성요소
conceit	자만, 자부심
conciseness	간결
condition	상태
conference	협의, 회의
confidence	신임, 신용
conflict	투쟁, 전투
congress	국회, 대회
consequence	결과
consort	배우자, 동료
contempt	경멸, 멸시
contest	경쟁, 논쟁
contract	계약
contrast	대조
control	지배, 억제
controversy	논쟁, 논의
converse	반대, 역
core	핵심
corpse	시체
craft	기능, 솜씨
crash	산산히 부수다
crazy	미친
credit	신용
crime	죄, 범죄
crisis	위기, 전환기
critic	비평가, 평론가
crop	수확, 작물
crowd	군중, 많은 사람
cure	치료
custody	감금
customary	관례적인
damage	손해, 피해
danger	위험
dawn	새벽
decadence	타락
deceit	사기, 책략
defect	결점, 단점
delicacy	고움, 섬세, 민감
descent	하강, 내리기
design	계획
despair	절망, 자포자기
destiny	운명
device	고안, 계획
dilemma	진퇴양란, 곤경
disaster	재난, 불운
disciple	제자, 문하생
discipline	훈련, 규율
disdain	경멸, 모멸
disgust	혐오, 싫증
disorder	무질서, 혼란, 난잡
distinction	구별, 차이
disturbance	소란, 소동, 방해
doctrine	교의, 교리, 주의
domain	 영토
donation	기부, 기증
doom	운명, 파멸
duty	의무, 임무
dwarf	난쟁이
ebb	썰물, 쇠퇴, 쇠퇴기
edge	가장자리, 변두리
effect	결과, 효과
effort	노력, 수고
element	성분, 구성요소
emergency	비상사태
endowment	기증, 기부
enemy	적, 원수
enthusiasm	열광, 열중
entity	실재, 존재물, 실체
era	기원, 연대
error	실수, 오류
evaporate	증발, 탈수
event	사건, 행사
excel	우수, 탁월
exclamation	외침, 절규
execute	실행, 수행
expense	지출, 소비
experiment	실험, 시도
expert	전문가, 숙련가
exploit	위업, 업적
extent	범위, 넓이, 크기
extravagant	무절제, 낭비
fable	우화, 신화, 전설
face	얼굴, 외관
faculty	능력, 재능
failing	실패, 결점, 약점
faith	신앙, 믿음
fame	명성, 평판
fancy	공상, 망상, 꿈
fashion	유행, 양식
fate	운명, 죽음
fault	잘못, 과실, 흠
favor	호의, 친절한 행위
fear	두려움, 공포
feast	종교상의 축제, 축연
feat	위업, 공훈
feud	불화, 싸움
fight	싸움, 결투, 논쟁
flame	정열, 불길
flock	무리, 떼, 군중
flood	밀물
foe	적, 경쟁자
fog	안개, 흐림
food	식량, 양식
force	힘, 세력
foresight	선견지명, 예지
foundation	기초, 토대
fraud	사기, 기만
free	자유
fright	심한 공포, 경악
fume	증기, 연기
fun	재미, 즐거움
fury	격노, 격심
gaiety	흥겨움, 유쾌, 화려
gang	한 떼, 패거리
gathering	모임, 집회
generosity	관대, 관용
ghost	유령, 원혼
gift	선물
glance	흘긋보다, 일견
gleam	어스레한 빛, 미광
glee	기쁨, 환희
glory	영광, 영화
good-will	호의, 친선
grace	우아, 은총
greed	탐욕, 큰 욕심
grief	큰 슬픔, 비탄
guarantee	보증, 담보
harbor	항구
hardship	곤란, 결핍
harm	손해, 해
harmony	조화, 화음
hatred	증오, 미움
hazard	위험
heap	더미, 무더기, 많음
heritage	상속재산
hint	힌트, 암시
hole	구멍
honesty	정직, 성실
honor	명예, 영예
horror	공포, 전율
hostility	적의, 적대행위
humility	겸손, 비하
hypocrite	위선자
ideal	위선자
illustration	실례, 예증
importance	중요, 중대
incense	향, 향내
inclination	경향, 성향
income	수입, 소득
indifference	무관심, 냉담
indignity	경멸, 모욕
information	지식
injury	상해, 손해
inquiry	질문, 조사, 연구
instrument	기계, 기구, 도구
integrity	고결, 성실, 흠없음
intent	의지, 의향
intuition	직관, 직감
isolation	고립, 분리
issue	발행, 논점
jeopardy	위험
jest	농담, 익살
jump	뛰다, 뛰어오름
junction	접합
kinship	친척, 혈족관계
knack	솜씨, 요령
labor	노동, 근로, 수고
lack	부족, 결핍
lane	좁은길, 골목길
league	연맹, 동맹
legacy	유산, 물려받은 것
legend	전설
light	일광, 조명, 광채
limit	한계, 경계
livelihood	생계, 살림
load	적재하물, 짐
longing	갈망, 동경
luster	광택, 영광
magnitude	크기, 광도, 중요함
maid	소녀, 하녀, 미혼여성
maintenance	생계, 생활 수단
malady	병, 병폐
manager	경영인, 지배인
mania	열광
manner	방식, 방법
margin	가장자리, 물가
mariner	선원
marriage	결혼
mass	모임
massacre	대량학살
master	주인, 지배자
matter	물질, 물체
maxim	격언, 금언
medicine	약
medium	수단, 매개물
menace	협박, 위협
mercy	자비
merit	가치, 장점, 공적
milestone	이정표,. 획기적인 사건
mirth	환희, 명랑
mischief	해악, 해독
miser	구두쇠, 수전노
misery	고통, 비참
misgiving	의심, 걱정, 불만
mistake	잘못, 틀림, 오해
monster	괴물, 도깨비
mood	기분, 감정
motif	주제, 테마
motion	운동, 동작
motive	동기, 목적
movement	운동, 활동
multitude	다수, 군중
murmur	(시냇물의)졸졸소리, 낮은 목소리, 속사임
mutiny	폭동, 반란
negligence	태만, 단정치못함
note	명성, 평판
notice	통지, 통보
notion	관념, 개념
nutrition	영양물, 영양을 섭취
obligation	의무, 책무
observance	따르기, 준수
observation	관찰, 주목
obstacle	장해물, 방해물
occupation	직업, 업무
occurrence	발생, 사건
odor	냄새 (악취)
offense	위반, 범죄, 성내기
